Index,Name,Requested_Width,Requested_Height,Actual_Width,Actual_Height,FPS
0,Camera_0,320,240,320,240,13.4
0,Camera_0,640,480,640,480,13.4
0,Camera_0,800,600,640,480,12.3
0,Camera_0,1024,768,1280,720,11.7
0,Camera_0,1280,720,1280,720,8.7
1,Camera_1,320,240,320,240,17.6
1,Camera_1,640,480,640,480,17.7
1,Camera_1,800,600,640,480,17.7
1,Camera_1,1024,768,1280,720,17.6
1,Camera_1,1280,720,1280,720,7.5
